conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,coordinates,latitude,longitude
1.77e+18,Wed Mar 20 14:28:24 +0000 2024,52767, RESMI : KPU mengumumkan hasil Pilpres 2024. 1. Anies - Muhaimin : 40.971.726 suara Menang di 2 provinsi (Aceh Sumbar) 2. Prabowo - Gibran : 96.303.691 suara Menang di 36 provinsi 3. Ganjar - Mahfud : 27.041.508 suara Menang di 0 provinsi Prabowo Subianto dan Gibran https://t.co/PBFs8lbJcH,1.77e+18,https://pbs.twimg.com/media/GJHtlbJakAA3TOQ.jpg,,in,,13141,4176,7147,https://x.com/idextratime/status/1770457367794307230,1.22e+18,idextratime,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.76e+18,Wed Feb 14 08:11:50 +0000 2024,30714,BREAKING NEWS : Hasil quick count sementara Pilpres 2024 dari beberapa lembaga. Aroma satu putaran kah? https://t.co/oBRbCa1H5r,1.76e+18,https://pbs.twimg.com/media/GGSHwAvbsAA_zdU.jpg,,in,대전,1897,1829,2031,https://x.com/kegblgnunfaedh/status/1757679025261355362,1.17e+18,kegblgnunfaedh,"(36.3497007, 127.3849016)",36.3497007,127.3849016
1.79e+18,Sun May 05 14:33:09 +0000 2024,1343,Fakta !MEREKA TERLALU SEMANGAT AKHIRNYA LUPA DI EDIT ATAU DI TUKAR ANGKA NYA ( KPU LUPA NGEDIT HASIL PILPRES 2024 ). VIRALKAN JGN DI SIMPAN. Pola sama pemilu curang 2019 https://t.co/QfiuOjoYfL,1.79e+18,https://pbs.twimg.com/ext_tw_video_thumb/1787128316300001280/pu/img/9Pe11MjsAAp_Dp4S.jpg,,in,,20,169,728,https://x.com/alfatih212426/status/1787128404166553744,1.67e+18,alfatih212426,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.76e+18,Wed Feb 14 11:02:31 +0000 2024,15860,Anies Baswedan tanggapi hasil quick count Pilpres 2024 #Pemilu2024 #PemiluSerentak2024 https://t.co/z1qtLuL5iU,1.76e+18,https://pbs.twimg.com/ext_tw_video_thumb/1757721824996335616/pu/img/tJFdbRB5c0L_yNwf.jpg,,in,Jakarta Capital Region,1169,477,3312,https://x.com/Mdy_Asmara1701/status/1757721981649399857,1.33e+18,Mdy_Asmara1701,"(-6.175247, 106.8270488)",-6.175247,106.8270488
1.76e+18,Fri Feb 16 04:42:30 +0000 2024,22828,Tim pemenangan nasional pasangan capres-cawapres Anies Baswedan dan Muhaimin Iskandar (Timnas AMIN) mengatakan hasil hitung cepat atau quick count Pilpres 2024 hanyalah penggiringan opini. Meskipun hasil quick count menyatakan pasangan Prabowo Subianto-Gibran Rakabuming Raka https://t.co/bn3izujrzN,1.76e+18,https://pbs.twimg.com/media/GGbrBM2aYAA-XVh.jpg,,in,대전,470,2371,2612,https://x.com/kegblgnunfaedh/status/1758351120257483139,1.17e+18,kegblgnunfaedh,"(36.3497007, 127.3849016)",36.3497007,127.3849016
1.76e+18,Wed Feb 21 13:20:41 +0000 2024,7409,Seruan dan sikap 100 Tokoh : 1) Pilpres 2024 terjadi kecurangan Terstruktur Sistimatis dan Massif 2) menolak hasil Pilpres 2024 3) beri sanksi hukum dab etik kpd pelanggar 4) mendukung DPR melakukan hak angket 5) menolak penyelesaian kecurangan Pilpres melalui MK. https://t.co/BmOi8HReJ4,1.76e+18,https://pbs.twimg.com/media/GG3Rkw-a4AA1I6y.jpg,,in,,69,447,3167,https://x.com/msaid_didu/status/1760293466956079300,1.12e+18,msaid_didu,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.79e+18,Sun May 05 05:24:19 +0000 2024,6,Terselenggaranya pesta demokrasi yang aman dan damai hingga penetapan hasil Pilpres menjadi dambaan dan harapan semua elemen masyarakat. Dinamika politik dan perbedaan pendapat yang terjadi selama Pemilu 2024 #Pemilu2024 #PemiluDamai2024 #PilkadaSerentak #Pemilu2024BebasHoaks https://t.co/y8LBNKyoSp,1.79e+18,https://pbs.twimg.com/media/GMyqIYBaoAAWE3N.jpg,,in,Jawa Tengah,0,5,2,https://x.com/Seorangpejuang5/status/1786990284309758089,1.36e+18,Seorangpejuang5,"(-7.3032412, 110.0044145)",-7.3032412,110.0044145
1.76e+18,Wed Feb 14 12:04:59 +0000 2024,8410,Eks Gubernur Jawa Barat Ridwan Kamil berbicara hasil quick count lembaga survei di Pilpres 2024. Sejauh ini paslon 02 Prabowo-Gibran unggul dari paslon 01 Anies-Muhaimin dan paslon 03 Ganjar-Mahfud. Ridwan Kamil mengatakan paslon 02 menang berkat pergerakan silent majority. https://t.co/5eR1o7qBzL,1.76e+18,https://pbs.twimg.com/media/GGS9HQhbcAA4Gd2.jpg,,in,,476,819,1010,https://x.com/kumparan/status/1757737698058756211,7.6e+17,kumparan,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.76e+18,Tue Feb 20 08:57:46 +0000 2024,13855,Anies Baswedan sebagai calon presiden nomor urut 1 mengatakan bahwa ia tidak mau gegabah untuk buka suara soal hasil Pilpres 2024. Kami tidak mau gegabah tidak ada di hari pertama hari kedua deklarasi kecurangan ini tidak. Kami tidak mau gegabah. Karena kami ingin menghormati https://t.co/qACtv1v0Fd,1.76e+18,https://pbs.twimg.com/media/GGxLxBKbkAAnjJR.jpg,,in,"Pulo Gadung, Indonesia",113,631,2209,https://x.com/tvOneNews/status/1759864911361110418,55507370.0,tvOneNews,"(-6.1911085, 106.89060525673162)",-6.1911085,106.89060525673162
1.76e+18,Sat Feb 24 06:40:47 +0000 2024,4708,Dari dua judul berita ini hikmah apa yang bisa anda petik? - Penjelasan Yusril soal Hasil Pilpres Bisa Dibatalkan karena Kecurangan.(Kumparan: 25 Juni 2019) - Yusril Sebut Hak Angket DPR Tak Bisa Gugurkan Hasil Pemilu 2024. (Kompas: 22 Februari 2024) https://t.co/RV7qd3wr5w,1.76e+18,https://pbs.twimg.com/media/GHFSz90aoAAlFny.jpg,,in,"Jawa Barat, Indonesia",129,778,1931,https://x.com/Muhammad_Saewad/status/1761279989042028593,8.18e+17,Muhammad_Saewad,"(-6.8891904, 107.6404716)",-6.8891904,107.6404716
